rut;nombre;edad;genero;fecha;id_tienda
18234567-1;Marta Valdés;27;F;13/02/2018;1
19765432-0;Andrés Soto;35;M;20/05/2016;2
19456789-6;Luisa Torres;23;F;09/08/2017;3
18678901-3;Carlos González;41;M;27/11/2015;4
19567890-8;Sofía Pérez;29;F;14/03/2018;5
18123456-7;Diego Muñoz;32;M;11/10/2015;1
19234567-8;María Castro;26;F;07/07/2019;2
18345678-9;José Díaz;24;M;22/12/2017;3
19987654-3;Ana Flores;37;F;02/09/2016;4
18567890-2;Pablo Ramírez;28;M;19/06/2018;5
19345678-1;Isabella Reyes;31;F;30/01/2015;1
19678901-4;Manuel Rivas;36;M;25/04/2017;2
18456789-0;Fernanda Ortiz;22;F;16/11/2016;3
19890123-5;Rodrigo Mora;39;M;08/08/2019;4
19123456-0;Daniela Araya;25;F;03/05/2018;5
